what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711621600055
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711621611117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621623070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621635352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621718182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621725042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621804557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621903901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621936151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621946901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621973229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711621995603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622164377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622233158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622237214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622260225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622426901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622440552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622506523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622510256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622770503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622781253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622818721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711622902768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623073349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623109413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623111741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623127569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623666216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623674809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711623789872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711624219506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711624574348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711624586661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625048672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625054234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625055734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625057625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625059031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625061000
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711625132954
error,log,,,"Internal Error",1711625133016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625252102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625253665
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1711625254009
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711625254352
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1711625255704
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1711625255707
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1711625255707
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1711625256783
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1711625256788
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1711625256788
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1711625256788
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1711625256788
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1711625256788
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1711625256792
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1711625256792
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1711625256797
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1711625256797
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1711625256803
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1711625256808
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1711625256808
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1711625256808
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1711625256813
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1711625256813
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1711625256813
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1711625256813
